@relation 'parsed-weka.filters.supervised.attribute.AddClassification-classification-Wweka.classifiers.bayes.BayesNet -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}
@attribute classification {loss,win}

@data
Fremantle,'Geelong Cats',0.206318,6.242659,2.94554,159.779978,120.795658,280.575636,72.748674,1.80556,43.782462,111.400294,170.919757,282.32005,29.322311,7.424475,10.073204,23.063835,40.534857,74.608069,40.851569,14.62049,13.326221,1151.258138,11.359729,18.680188,31.602432,4.89179,50.990863,60.546087,54.937659,5.570568,12.089226,20.620836,40.399463,27.020015,24.300834,21.478379,20.608517,6.239919,5.520123,181.416216,108.130801,289.547017,63.400768,0.07217,52.161146,123.124973,157.258725,280.383699,32.794888,5.481532,5.011804,30.361869,50.86971,66.119529,48.275206,11.680228,22.452684,1175.038032,8.633006,38.742575,36.418127,4.792448,45.963031,56.707133,58.153872,7.495542,13.479768,18.496166,40.150134,23.913984,21.666695,15.323411,15.121318,OS,-22.502621,-12.065534,'West Coast Eagles',Collingwood,loss,win
'Western Bulldogs',Richmond,0.318879,8.162483,8.997284,179.504341,134.487711,313.992052,56.292295,1.879779,50.733351,127.495949,178.631056,306.127004,39.325003,5.139188,5.436722,17.980251,54.438756,69.349829,47.177781,17.903305,16.841269,1218.865623,13.930593,24.559967,39.473076,3.78136,40.951115,71.061467,67.765066,4.709332,19.575746,20.439512,49.594649,24.806507,19.546599,28.811754,18.547324,6.779341,13.336494,153.237702,94.937094,248.174795,62.323748,5.244365,52.825249,102.910843,144.760661,247.671505,46.969422,7.072877,5.079434,40.185049,34.676117,68.394603,48.981837,18.470891,21.266663,1093.930492,7.504803,27.741592,23.045444,3.193651,34.875617,40.225395,53.259385,12.167546,19.249037,14.329853,41.051034,25.531879,24.723295,19.295289,18.129644,MS,9.408957,-0.572232,'Gold Coast Suns','GWS Giants',loss,loss
Carlton,Hawthorn,0.161082,9.215735,9.40408,176.019782,102.195936,278.215718,61.315835,1.865958,62.001614,122.627999,155.235316,277.863315,50.718529,5.045031,7.233517,28.46736,47.557031,66.86096,59.418473,22.441152,29.58324,1190.03697,16.362648,29.203591,32.229068,5.543951,49.027622,65.149695,68.790034,16.145776,18.78453,18.678497,37.680349,29.093305,30.707167,20.180573,20.710076,6.874399,10.107221,175.260891,106.141603,281.402494,48.929189,0.184439,52.030143,135.243775,134.743939,269.987715,49.016421,3.499872,6.89156,26.944858,57.003579,58.919235,69.564693,13.538027,21.128482,1116.219961,11.692644,28.063525,36.831303,5.831117,40.890522,72.06128,73.485162,8.054181,16.81798,14.402667,35.414489,27.871976,23.970376,20.211161,22.597653,OS,6.670157,-13.711014,'North Melbourne','Sydney Swans',loss,loss
Melbourne,'Port Adelaide',0.391966,8.285423,7.013979,158.823314,114.368252,273.191567,56.159729,0.896678,50.731269,120.830802,150.546815,271.377617,43.32328,7.652391,9.129734,41.230163,44.321672,70.186848,48.919585,20.151316,18.437317,1138.503006,9.78577,19.917349,31.614873,5.266748,45.487821,62.216758,62.194118,11.64781,17.874213,18.765867,41.309854,28.604425,22.657663,25.595932,21.380969,6.588082,8.381979,163.494544,111.016541,274.511085,63.181413,3.127189,44.800306,117.857539,153.807809,271.665349,38.095908,9.51718,12.112911,16.795714,55.449861,68.561448,55.416483,15.813423,19.985368,1101.003995,12.734387,24.645722,28.622506,6.149423,34.61625,56.326224,63.363127,8.592881,18.887446,17.212102,49.698937,20.627792,26.230378,24.459589,23.258775,G,4.046064,-22.329465,'Brisbane Lions','St Kilda',loss,loss
Essendon,'Brisbane Lions',0.56547,8.685891,8.281379,173.755422,145.448965,319.204387,67.176778,8.436121,69.497098,130.237213,179.090914,309.328127,46.144317,5.736715,9.748339,26.917553,38.762824,69.451892,61.682156,18.593833,16.318222,1346.833751,14.024247,29.049723,36.524963,7.273593,41.783034,62.84516,60.909913,16.079311,20.851081,18.7729,45.233684,22.733513,27.862933,21.527417,15.730991,7.964893,10.836803,187.617018,99.48919,287.106208,80.897769,4.234381,53.500053,121.893271,163.520445,285.413716,44.336909,7.783739,9.16778,21.15423,47.495669,67.643806,48.809312,19.327564,21.383634,1251.570902,13.125943,30.514182,31.101422,4.531693,30.344855,61.931451,61.573181,12.134219,26.46028,17.707785,60.419179,22.587461,24.508733,19.591961,17.81263,MS,-3.776019,5.82814,'Adelaide Crows',Melbourne,loss,loss
'North Melbourne','Adelaide Crows',0.405726,7.78902,4.57447,173.2393,110.394897,283.634197,64.220123,0.811192,59.219456,119.572645,158.248083,277.820728,39.09502,4.785813,6.190582,40.969368,37.170298,71.347577,53.5526,29.269351,21.670871,1225.855731,9.258981,28.709762,42.770848,5.84372,59.797,68.476228,63.13247,7.280713,12.871267,19.330701,33.209298,24.15435,25.016159,21.345485,19.996018,7.875983,10.118731,167.261531,144.783474,312.045006,57.797436,3.246673,52.689629,126.909459,184.774931,311.68439,43.481927,4.365613,11.206811,26.94193,50.467359,73.971464,51.63122,18.128553,19.723621,1217.633004,7.613557,28.504022,35.582052,5.236059,42.668772,61.866078,63.357913,9.818457,18.506174,18.203228,42.566263,27.149044,30.189323,22.105621,18.128664,MS,-15.00845,-7.328896,Carlton,Essendon,win,loss
'St Kilda','Sydney Swans',0.313429,11.96369,2.034797,183.558275,103.747373,287.305648,63.142723,1.83776,46.142159,126.62546,150.317421,276.942881,39.99593,4.194004,6.539525,38.757118,45.018867,68.19965,56.664131,20.466969,17.483775,1212.269347,15.523901,34.146104,28.557107,4.313716,68.685911,62.599547,55.914346,8.771751,17.486954,30.040337,44.010652,23.810812,24.92848,23.070288,22.487134,8.784078,6.075594,188.867289,121.826425,310.693714,61.757685,2.921439,49.867908,133.853938,164.147037,298.000975,47.779055,6.009669,8.384408,25.089626,61.484622,69.607763,52.253833,22.82497,14.139276,1258.954128,8.271532,22.206925,44.857174,3.949673,52.990135,76.200661,75.172108,3.357462,16.532507,18.346317,34.638331,31.342426,22.367926,20.374184,25.184952,G,26.827096,-0.026791,'Port Adelaide',Hawthorn,win,loss
'West Coast Eagles','Geelong Cats',0.53064,16.240075,3.983445,190.478432,112.154402,302.632834,90.13605,2.488851,47.390686,106.887941,191.935438,298.823378,36.486423,12.682236,11.479126,27.649601,46.764299,77.802369,42.636668,19.537611,19.564495,1345.308962,15.251023,23.825468,28.17242,8.875838,64.586091,51.663666,48.217642,5.404181,24.793341,45.469516,68.90036,27.47514,25.260584,30.671773,19.487464,6.047984,10.704025,189.083243,142.42616,331.509403,52.680154,0.814434,68.832229,157.424995,165.851745,323.27674,44.158978,8.296306,5.802361,34.072374,60.573942,60.263906,61.655041,15.936046,19.690537,1319.807606,9.726601,39.748515,27.283625,4.15849,31.032606,68.941427,70.030774,11.099108,20.295954,13.939233,45.470027,22.782797,16.333339,20.064682,26.024264,OS,58.802482,23.186893,Collingwood,Fremantle,win,win
'Gold Coast Suns','GWS Giants',0.107759,7.235848,10.561668,188.459887,102.761233,291.22112,62.62754,2.673893,60.069083,129.312374,150.488569,279.800943,47.466885,7.048109,6.76296,45.713826,43.779739,66.308844,51.62783,18.147851,19.463692,1255.62046,7.85573,36.882146,30.315309,4.838187,33.967767,70.00786,74.579481,7.805044,20.884414,15.191753,43.779203,25.522836,21.854733,27.521568,23.162594,9.089618,8.042648,175.733059,108.904555,284.637614,68.815404,2.875164,62.485541,122.645964,149.910246,272.556211,32.319638,7.46745,7.775495,28.976758,45.288756,68.378579,46.857547,21.98377,19.82879,1254.378682,13.44164,31.226481,38.715511,5.206671,49.785892,52.872185,41.90352,3.29258,18.244557,28.126044,56.485078,26.119897,24.168154,24.974875,20.925754,MS,0.370995,6.06914,'Western Bulldogs',Richmond,loss,loss
Fremantle,Collingwood,0.295464,2.848532,3.789108,157.555996,124.159132,281.715127,47.349735,1.961112,67.156492,130.280059,134.983951,265.26401,27.464462,3.084895,6.014641,39.012767,51.306971,61.481614,45.770314,18.124098,16.265244,1159.851628,5.271946,29.736038,37.520486,1.778358,30.198173,70.509217,68.587532,11.514114,8.817845,10.044167,31.759893,22.404003,22.860167,24.295676,24.121703,6.3958,9.045918,159.091453,123.552043,282.643496,59.668933,2.190171,42.148786,122.093869,160.924122,283.017991,38.80028,8.257237,11.128047,30.104022,34.677715,68.68513,40.235281,21.099721,18.983078,1109.748949,12.239192,21.28718,18.738351,3.413502,37.247325,48.016413,52.716514,4.758179,17.145013,16.430338,44.421421,26.441962,26.587977,29.12605,27.259461,OS,-30.100524,-48.342766,'Geelong Cats','West Coast Eagles',win,win
